,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,scopus
720,Acta Neurologica Scandinavica,Risk factors for a non-favorable outcome after treated European neuroborreliosis,"[{'name': 'R. Eikeland', 'affiliation': 'Sørlandet Hospital, Arendal, Norway'}]",10.1111/j.1600-0404.2012.01690.x,2013,35,Article,,,,,1
721,BMC Microbiology,Sensitive multiplex PCR assay to differentiate Lyme spirochetes and emerging pathogens Anaplasma phagocytophilum and Babesia microti,"[{'name': 'K. Chan', 'affiliation': 'Rutgers New Jersey Medical School, Newark, United States'}]",10.1186/1471-2180-13-295,2013,34,Article,,,,,1
722,Applied and Environmental Microbiology,Species co-occurrence patterns among lyme borreliosis pathogens in the tick vector Ixodes ricinus,"[{'name': 'C. Herrmann', 'affiliation': 'Université de Neuchâtel, Neuchatel, Switzerland'}]",10.1128/AEM.02158-13,2013,34,Article,,,,,1
725,Journal of Neuroinflammation,The Lyme disease spirochete Borrelia burgdorferi induces inflammation and apoptosis in cells from dorsal root ganglia,"[{'name': 'G. Ramesh', 'affiliation': 'Tulane National Primate Research Center, Covington, United States'}]",10.1186/1742-2094-10-88,2013,34,Article,,,,,1
726,PLoS ONE,"Reciprocal Regulation of NF-kB (Relish) and Subolesin in the Tick Vector, Ixodes scapularis","[{'name': 'V. Naranjo', 'affiliation': 'SaBio, Spain, Ciudad Real, Spain'}]",10.1371/journal.pone.0065915,2013,34,Article,,,,,1
727,PLoS ONE,Gender Disparity between Cutaneous and Non-Cutaneous Manifestations of Lyme Borreliosis,"[{'name': 'F. Strle', 'affiliation': 'Univerzitetni Klinični Center Ljubljana, Ljubljana, Slovenia'}]",10.1371/journal.pone.0064110,2013,34,Article,,,,,1
728,Infection and Immunity,The formins FMNL1 and mDia1 regulate coiling phagocytosis of borrelia burgdorferi by primary human macrophages,"[{'name': 'X. Naj', 'affiliation': 'Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany'}]",10.1128/IAI.01411-12,2013,34,Article,,,,,1
729,Pediatrics,Distinguishing lyme from septic knee monoarthritis in lyme disease-endemic areas,"[{'name': 'J. Deanehan', 'affiliation': ""Children's Hospital Boston, Boston, United States""}]",10.1542/peds.2012-2531,2013,34,Article,,,,,1
730,Veterinary Parasitology,Seasonal dynamics of Ixodes ricinus on ground level and higher vegetation in a preserved wooded area in southern Europe,"[{'name': 'F. Dantas-Torres', 'affiliation': 'Fundacao Oswaldo Cruz, Rio de Janeiro, Brazil'}]",10.1016/j.vetpar.2012.09.034,2013,34,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0304401712005304,,,1
731,Journal of Clinical Microbiology,Comparative cost-effectiveness of two-tiered testing strategies for serodiagnosis of lyme disease with noncutaneous manifestations,"[{'name': 'G. Wormser', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1128/JCM.01853-13,2013,33,Article,,,,,1
732,Clinical Infectious Diseases,Suspected early Lyme neuroborreliosis in patients with erythema migrans,"[{'name': 'K. Ogrinc', 'affiliation': 'Univerzitetni Klinični Center Ljubljana, Ljubljana, Slovenia'}]",10.1093/cid/cit317,2013,33,Article,,,,,1
734,Indian Journal of Dermatology,Lyme borreliosis and skin,"[{'name': 'B. Vasudevan', 'affiliation': 'Command Hospital Air Force Bangalore, Bengaluru, India'}]",10.4103/0019-5154.110822,2013,33,Article,,,,,1
735,International Journal of Medical Sciences,Improved culture conditions for the growth and detection of Borrelia from human serum,"[{'name': 'E. Sapi', 'affiliation': 'University of New Haven, West Haven, United States'}]",10.7150/ijms.5698,2013,33,Article,,,,,1
736,Journal of Bacteriology,Changes in bacterial growth rate govern expression of the Borrelia burgdorferi OspC and Erp infection-associated Surface proteins,"[{'name': 'B. Jutras', 'affiliation': 'University of Kentucky College of Medicine, Lexington, United States'}]",10.1128/JB.01956-12,2013,33,Article,,,,,1
737,Parasites and Vectors,Co-infection of Borrelia burgdorferi sensu lato and Rickettsia species in ticks and in an erythema migrans patient,"[{'name': 'E. Tijsse-Klasen', 'affiliation': 'National Institute for Public Health and the Environment, Bilthoven, Netherlands'}]",10.1186/1756-3305-6-347,2013,32,Article,,,,,1
738,Infection and Immunity,Manganese and zinc regulate virulence determinants in borrelia burgdorferi,"[{'name': 'B. Troxell', 'affiliation': 'Indiana University School of Medicine, Indianapolis, United States'}]",10.1128/IAI.00507-13,2013,32,Article,,,,,1
739,"Health, Risk and Society",The influence of popular media on perceptions of personal and population risk in possible disease outbreaks,"[{'name': 'M. Young', 'affiliation': 'Université McGill, Montreal, Canada'}]",10.1080/13698575.2012.748884,2013,32,Article,,,,,1
740,Journal of Medical Entomology,Harvested white-tailed deer as sentinel hosts for early establishing ixodes scapularis populations and risk from vector-borne zoonoses in Southeastern Canada,"[{'name': 'C. Bouchard', 'affiliation': 'University of Montreal, Montreal, Canada'}]",10.1603/ME12093,2013,32,Article,,,,,1
741,Parasites and Vectors,Spatial and seasonal variation in the prevalence of Anaplasma phagocytophilum and Borrelia burgdorferi sensu lato in questing Ixodes ricinus ticks in Norway,"[{'name': 'A. Mysterud', 'affiliation': 'Universitetet i Oslo, Oslo, Norway'}]",10.1186/1756-3305-6-187,2013,31,Article,,,,,1
742,Ticks and Tick-borne Diseases,"Eco-epidemiological factors contributing to the low risk of human exposure to ixodid tick-borne borreliae in southern California, USA","[{'name': 'R. Lane', 'affiliation': 'Department of Environmental Science, Policy, and Management, Berkeley, United States'}]",10.1016/j.ttbdis.2013.02.005,2013,30,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X1300037X,,,1
744,Clinical and Vaccine Immunology,Outer surface protein C peptide derived from borrelia burgdorferi sensu stricto as a target for serodiagnosis of early lyme disease,"[{'name': 'P. Arnaboldi', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1128/CVI.00608-12,2013,30,Article,,,,,1
746,PLoS ONE,"Borrelia burgdorferi elicited-IL-10 suppresses the production of inflammatory mediators, phagocytosis, and expression of co-stimulatory receptors by murine macrophages and/or dendritic cells","[{'name': 'Y. Chung', 'affiliation': 'College of Medicine and Life Sciences, Toledo, United States'}]",10.1371/journal.pone.0084980,2013,29,Article,,,,,1
747,PLoS Pathogens,Natural Selection Promotes Antigenic Evolvability,"[{'name': 'C. Graves', 'affiliation': 'University of Pennsylvania, Philadelphia, United States'}]",10.1371/journal.ppat.1003766,2013,29,Article,,,,,1
750,Scandinavian Journal of Infectious Diseases,Cerebrospinal fluid chemokine CXCL13 in the diagnosis of neuroborreliosis in children,"[{'name': 'H. Sillanpää', 'affiliation': 'Haartman Institute, Helsinki, Finland'}]",10.3109/00365548.2013.776700,2013,29,Article,,,,,1
751,Parasites and Vectors,Ability to cause erythema migrans differs between Borrelia burgdorferi sensu lato isolates,"[{'name': 'E. Tijsse-Klasen', 'affiliation': 'National Institute for Public Health and the Environment, Bilthoven, Netherlands'}]",10.1186/1756-3305-6-23,2013,29,Article,,,,,1
753,Parasites and Vectors,Does high biodiversity reduce the risk of Lyme disease invasion?,"[{'name': 'C. Bouchard', 'affiliation': 'University of Montreal, Montreal, Canada'}]",10.1186/1756-3305-6-195,2013,28,Article,,,,,1
754,PLoS ONE,Quantitative Detection of Borrelia burgdorferi sensu lato in Erythema Migrans Skin Lesions Using Internally Controlled Duplex Real Time PCR,"[{'name': ""M. O'Rourke"", 'affiliation': 'Baxter BioScience, Vienna, Austria'}]",10.1371/journal.pone.0063968,2013,28,Article,,,,,1
755,Swiss Medical Weekly,"Tick related diseases in Switzerland, 2008 to 2011","[{'name': 'E. Altpeter', 'affiliation': 'Swiss Federal Office of Public Health, Bern, Switzerland'}]",10.4414/smw.2013.13725,2013,28,Article,,,,,1
756,Ecology and Evolution,Genetic structure of the white-footed mouse in the context of the emergence of Lyme disease in southern Québec,"[{'name': 'A. Rogic', 'affiliation': 'Université McGill, Montreal, Canada'}]",10.1002/ece3.620,2013,27,Article,,,,,1
757,Molecular Microbiology,Borrelia burgdorferiBbHtrA degrades host ECM proteins and stimulates release of inflammatory cytokines in vitro,"[{'name': 'T. Russell', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1111/mmi.12377,2013,27,Article,,,,,1
758,Molecular Microbiology,Borrelia burgdorferi oxidative stress regulator BosR directly represses lipoproteins primarily expressed in the tick during mammalian infection,"[{'name': 'P. Wang', 'affiliation': 'The Ohio State University, Columbus, United States'}]",10.1111/mmi.12337,2013,27,Article,,,,,1
759,Journal of Bacteriology,Large linear plasmids of borrelia species that cause relapsing fever,"[{'name': 'S. Miller', 'affiliation': 'University of California, Irvine, Irvine, United States'}]",10.1128/JB.00347-13,2013,27,Article,,,,,1
760,Vector-Borne and Zoonotic Diseases,Tick-borne pathogens in ticks feeding on migratory passerines in western part of Estonia,"[{'name': 'J. Geller', 'affiliation': 'Tervise Arengu Instituut, Tallinn, Estonia'}]",10.1089/vbz.2012.1054,2013,27,Article,,,,,1
762,International Journal of Pediatric Otorhinolaryngology,Pediatric sudden sensorineural hearing loss: Diagnosed causes and response to intervention,"[{'name': 'Y. Tarshish', 'affiliation': ""Children's Hospital Boston, Boston, United States""}]",10.1016/j.ijporl.2013.01.004,2013,27,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0165587613000153,,,1
763,Ticks and Tick-borne Diseases,Borrelia burgdorferi sensu lato and Anaplasma phagocytophilum in Ixodes ricinus ticks in Brønnøysund in northern Norway,"[{'name': 'A. Soleng', 'affiliation': 'Norwegian Institute of Public Health, Oslo, Norway'}]",10.1016/j.ttbdis.2012.11.006,2013,27,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X12001422,,,1
764,Journal of Clinical Microbiology,Detection of Borrelia burgdorferi nucleic acids after antibiotic treatment does not confirm viability,"[{'name': 'R. Iyer', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1128/JCM.02785-12,2013,27,Article,,,,,1
765,Ticks and Tick-borne Diseases,Survival of Ixodes ricinus (Acari: Ixodidae) nymphs under cold conditions is negatively influenced by frequent temperature variations,"[{'name': 'C. Herrmann', 'affiliation': 'Université de Neuchâtel, Neuchatel, Switzerland'}]",10.1016/j.ttbdis.2013.05.002,2013,26,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X13000575,,,1
766,Infection and Immunity,The early dissemination defect attributed to disruption of decorin-binding proteins is abolished in chronic murine lyme borreliosis,"[{'name': 'D. Imai', 'affiliation': 'University of California, Davis, Davis, United States'}]",10.1128/IAI.01359-12,2013,26,Article,,,,,1
767,Circulation,Lyme disease and the heart,"[{'name': 'P. Krause', 'affiliation': 'Yale School of Medicine, New Haven, United States'}]",10.1161/CIRCULATIONAHA.112.101485,2013,26,Article,,,,,1
768,EcoHealth,Effects of landscape fragmentation and climate on lyme disease incidence in the Northeastern United States,"[{'name': 'P. Tran', 'affiliation': 'Emory University, Atlanta, United States'}]",10.1007/s10393-013-0890-y,2013,25,Article,,,,,1
769,Journal of Medical Entomology,Hunter-killed deer surveillance to assess changes in the prevalence and distribution of ixodes scapularis (acari: Ixodidae) in Wisconsin,"[{'name': 'X. Lee', 'affiliation': 'University of Wisconsin-Madison, Madison, United States'}]",10.1603/ME12234,2013,25,Article,,,,,1
770,Journal of Medical Entomology,"Detection of babesia microti and borrelia burgdorferi in host-seeking ixodes scapularis (Acari: Ixodidae) in Monmouth County, New Jersey","[{'name': 'T. Schulze', 'affiliation': 'Freehold Area Health Department, Freehold, United States'}]",10.1603/ME12088,2013,25,Article,,,,,1
772,Journal of Neuroimmunology,Increased IFNα activity and differential antibody response in patients with a history of Lyme disease and persistent cognitive deficits,"[{'name': 'E. Jacek', 'affiliation': 'Hospital for Special Surgery - New York, New York, United States'}]",10.1016/j.jneuroim.2012.10.011,2013,25,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0165572812003141,,,1
773,Ticks and Tick-borne Diseases,"High prevalence of genetically diverse Borrelia bavariensis-like strains in Ixodes persulcatus from Selenge Aimag, Mongolia","[{'name': 'H.C. Scholz', 'affiliation': 'Institut für Mikrobiologie der Bundeswehr, Munich, Germany'}]",10.1016/j.ttbdis.2012.08.004,2013,25,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X12000805,,,1
774,Proceedings of the Royal Society B: Biological Sciences,How ticks get under your skin: Insertion mechanics of the feeding apparatus of Ixodes ricinus ticks,"[{'name': 'D. Richter', 'affiliation': 'Harvard T.H. Chan School of Public Health, Boston, United States'}]",10.1098/rspb.2013.1758,2013,24,Article,,,,,1
775,PLoS ONE,"BB0347, from the Lyme Disease Spirochete Borrelia burgdorferi, Is Surface Exposed and Interacts with the CS1 Heparin-Binding Domain of Human Fibronectin","[{'name': 'R. Gaultney', 'affiliation': 'University of North Dakota School of Medicine &amp; Health Sciences, Grand Forks, United States'}]",10.1371/journal.pone.0075643,2013,24,Article,,,,,1
776,Equine Veterinary Journal,"Antibodies to OspC, OspF and C6 antigens as indicators for infection with Borrelia burgdorferi in horses","[{'name': 'B. Wagner', 'affiliation': 'Cornell University College of Veterinary Medicine, Ithaca, United States'}]",10.1111/evj.12033,2013,24,Article,,,,,1
777,Acta Neurologica Scandinavica,Chronic Lyme; diagnostic and therapeutic challenges,"[{'name': 'U. Ljøstad', 'affiliation': 'Sørlandet Hospital, Kristiansand, Norway'}]",10.1111/ane.12048,2013,24,Article,,,,,1
779,Arthritis and Rheumatism,Orchestration of inflammation and adaptive immunity in borrelia burgdorferi-induced arthritis by neutrophil-activating protein A,"[{'name': 'G. Codolo', 'affiliation': 'Veneto Institute of Molecular Medicine, Padua, Italy'}]",10.1002/art.37875,2013,24,Article,,,,,1
780,Ticks and Tick-borne Diseases,"Prevalences of tick-borne encephalitis virus and Borrelia burgdorferi sensu lato in Ixodes ricinus populations of the Rhine-Main region, Germany","[{'name': 'L. Bingsohn', 'affiliation': 'Universitätsklinikum Frankfurt, Frankfurt am Main, Germany'}]",10.1016/j.ttbdis.2012.11.012,2013,24,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X13000095,,,1
781,PLoS ONE,Suggested Role for G4 DNA in Recombinational Switching at the Antigenic Variation Locus of the Lyme Disease Spirochete,"[{'name': 'R. Walia', 'affiliation': 'University of Calgary, Calgary, Canada'}]",10.1371/journal.pone.0057792,2013,24,Article,,,,,1
782,Journal of Infectious Diseases,Novel microbial virulence factor triggers murine lyme arthritis,"[{'name': 'X. Yang', 'affiliation': 'University of Maryland, College Park, College Park, United States'}]",10.1093/infdis/jis930,2013,24,Article,,,,,1
783,Clinical Infectious Diseases,Diagnosis of acute deer tick virus encephalitis,"[{'name': 'M. El Khoury', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1093/cid/cis938,2013,24,Article,,,,,1
784,Applied and Environmental Microbiology,Detection of borrelia burgdorferi sensu stricto ospC Alleles associated with human lyme borreliosis worldwide in non-human-biting tick ixodes affinis and rodent hosts in southeastern United States,"[{'name': 'N. Rudenko', 'affiliation': 'Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Ceske Budejovice, Czech Republic'}]",10.1128/AEM.02749-12,2013,23,Article,,,,,1
785,SIAM Journal on Applied Mathematics,A reaction-diffusion lyme disease model with seasonality,"[{'name': 'Y. Zhang', 'affiliation': 'University of Ottawa, Ottawa, Canada'}]",10.1137/120875454,2013,22,Article,,,,,1
786,PLoS ONE,A Chitin Deacetylase-Like Protein Is a Predominant Constituent of Tick Peritrophic Membrane That Influences the Persistence of Lyme Disease Pathogens within the Vector,"[{'name': 'T. Kariu', 'affiliation': 'University of Maryland, College Park, College Park, United States'}]",10.1371/journal.pone.0078376,2013,22,Article,,,,,1
787,Otology and Neurotology,Clinical outcome after cochlear implantation in patients with unilateral hearing loss due to labyrinthitis ossificans,"[{'name': 'F. Hassepass', 'affiliation': 'Universitäts Klinikum Freiburg und Medizinische Fakultät, Freiburg im Breisgau, Germany'}]",10.1097/MAO.0b013e3182937ad4,2013,22,Article,,,,,1
788,Journal of Theoretical Biology,A simple model for the establishment of tick-borne pathogens of Ixodes scapularis: A global sensitivity analysis of R<inf>0</inf>,"[{'name': 'J.M. Dunn', 'affiliation': 'RMIT University, Melbourne, Australia'}]",10.1016/j.jtbi.2013.06.035,2013,22,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0022519313003184,,,1
789,Parasites and Vectors,Borrelia burgdorferi sensu lato prevalence in tick populations in Estonia,"[{'name': 'J. Geller', 'affiliation': 'Tervise Arengu Instituut, Tallinn, Estonia'}]",10.1186/1756-3305-6-202,2013,22,Article,,,,,1
790,Pesticide Biochemistry and Physiology,Re-invigorating the insecticide discovery pipeline for vector control: GPCRs as targets for the identification of next gen insecticides,"[{'name': 'C. Hill', 'affiliation': 'Purdue University, West Lafayette, United States'}]",10.1016/j.pestbp.2013.02.008,2013,22,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0048357513000321,,,1
791,Infection and Immunity,Borrelia burgdorferi bba66 gene inactivation results in attenuated mouse infection by tick transmission,"[{'name': 'T. Patton', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1128/IAI.00140-13,2013,22,Article,,,,,1
793,Parasitology Research,Do ticks and Borrelia burgdorferi s.l. constitute a burden to birds?,"[{'name': 'A. Norte', 'affiliation': 'University of Coimbra, Marine and Environmental Sciences Center, Coimbra, Portugal'}]",10.1007/s00436-013-3343-1,2013,22,Article,,,,,1
794,Journal of Clinical Microbiology,Differences and similarities between culture-confirmed human granulocytic anaplasmosis and early Lyme disease,"[{'name': 'G. Wormser', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1128/JCM.02929-12,2013,22,Article,,,,,1
795,Vector-Borne and Zoonotic Diseases,High risk of tick bites in Dutch Gardens,"[{'name': 'S. Mulder', 'affiliation': 'Wageningen University &amp; Research, Wageningen, Netherlands'}]",10.1089/vbz.2012.1194,2013,21,Article,,,,,1
797,Clinical and Vaccine Immunology,Enhanced detection of host response antibodies to borrelia burgdorferi using immuno-PCR,"[{'name': 'M. Halpern', 'affiliation': 'University of Central Florida, Orlando, United States'}]",10.1128/CVI.00630-12,2013,21,Article,,,,,1
798,PLoS ONE,Use of nonelectrolytes reveals the channel size and oligomeric constitution of the Borrelia burgdorferi P66 porin,"[{'name': 'I. Bárcena-Uribarri', 'affiliation': 'Rudolf-Virchow-Zentrum, Wurzburg, Germany'}]",10.1371/journal.pone.0078272,2013,20,Article,,,,,1
799,Pediatric Infectious Disease Journal,"Rickettsia spp. 364D causing a cluster of eschar-associated illness, California","[{'name': 'S.H. Johnston', 'affiliation': ""UCSF Benioff Children's Hospital Oakland, Oakland, United States""}]",10.1097/INF.0b013e318296b24b,2013,20,Article,,,,,1
800,Science,C9orf72 repeat expansions cause neurodegeneration in Drosophila through arginine-rich proteins,"[{'name': 'S. Mizielinska', 'affiliation': 'UCL Queen Square Institute of Neurology, London, United Kingdom'}]",10.1126/science.1256800,2014,366,Article,,,,,1
802,Clinical Infectious Diseases,Lyme disease testing by large commercial laboratories in the United States,"[{'name': 'A. Hinckley', 'affiliation': 'Centers for Disease Control and Prevention, Atlanta, United States'}]",10.1093/cid/ciu397,2014,248,Article,,,,,1
803,JAMA - Journal of the American Medical Association,Climate change: Challenges and opportunities for global health,"[{'name': 'J.A. Patz', 'affiliation': 'University of Wisconsin-Madison, Madison, United States'}]",10.1001/jama.2014.13186,2014,229,Article,,,,,1
805,Cell Host and Microbe,Gut microbiota of the tick vector Ixodes scapularis modulate colonization of the Lyme disease spirochete,"[{'name': 'S. Narasimhan', 'affiliation': 'Yale University, New Haven, United States'}]",10.1016/j.chom.2013.12.001,2014,166,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1931312813004344,,,1
806,Environmental Health Perspectives,Estimated effects of projected climate change on the basic reproductive number of the lyme disease vector ixodes scapularis,"[{'name': 'N. Ogden', 'affiliation': 'Agence de la santé publique du Canada, Ottawa, Canada'}]",10.1289/ehp.1307799,2014,124,Article,,,,,1
807,New England Journal of Medicine,Lyme disease,"[{'name': 'E. Shapiro', 'affiliation': 'Yale School of Medicine, New Haven, United States'}]",10.1056/NEJMcp1314325,2014,121,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0028479314662584,,,1
809,Amino Acids,Involvement of substance P and the NK-1 receptor in human pathology,"[{'name': 'M. Muñoz', 'affiliation': 'CSIC-JA-USE - Instituto de Biomedicina de Sevilla, Sevilla, Spain'}]",10.1007/s00726-014-1736-9,2014,105,Article,,,,,1
811,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology","A phylogenomic and molecular marker based proposal for the division of the genus Borrelia into two genera: The emended genus Borrelia containing only the members of the relapsing fever Borrelia, and the genus Borreliella gen. nov. containing the members of the Lyme disease Borrelia (Borrelia burgdorferi sensu lato complex)","[{'name': 'M. Adeolu', 'affiliation': 'McMaster University, Hamilton, Canada'}]",10.1007/s10482-014-0164-x,2014,93,Article,,,,,1
816,Journal of Medical Entomology,"The relationship between deer density, tick abundance, and human cases of lyme disease in a residential community","[{'name': 'H. Kilpatrick', 'affiliation': 'Wildlife Division, Burlington, United States'}]",10.1603/ME13232,2014,79,Article,,,,,1
817,Evolutionary Applications,"Climate change and habitat fragmentation drive the occurrence of Borrelia burgdorferi, the agent of Lyme disease, at the northeastern limit of its distribution","[{'name': 'J. Simon', 'affiliation': 'Université McGill, Montreal, Canada'}]",10.1111/eva.12165,2014,78,Article,,,,,1
818,Emerging Infectious Diseases,"Human infections with Borrelia miyamotoi, Japan","[{'name': 'K. Sato', 'affiliation': 'National Institute of Infectious Diseases, Tokyo, Japan'}]",10.3201/eid2008.131761,2014,76,Article,,,,,1
819,Emerging Infectious Diseases,Borrelia miyamotoi sensu lato seroreactivity and seroprevalence in the northeastern United States,"[{'name': 'P.J. Krause', 'affiliation': 'Yale School of Medicine, New Haven, United States'}]",10.3201/eid2007.131587,2014,76,Article,,,,,1
820,Environmental Microbiology,"Borrelia chilensis, a new member of the Borrelia burgdorferi sensu lato complex that extends the range of this genospecies in the Southern Hemisphere","[{'name': 'L.B. Ivanova', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1111/1462-2920.12310,2014,75,Article,,,,,1
822,PLoS ONE,Co-infection of blacklegged ticks with Babesia microti and Borrelia burgdorferi is higher than expected and acquired from small mammal hosts,"[{'name': 'M.H. Hersh', 'affiliation': 'Sarah Lawrence College, Bronxville, United States'}]",10.1371/journal.pone.0099348,2014,73,Article,,,,,1
823,Rheumatology International,Systemic staging for urate crystal deposits with dual-energy CT and ultrasound in patients with suspected gout,"[{'name': 'A. Huppertz', 'affiliation': 'Charité – Universitätsmedizin Berlin, Berlin, Germany'}]",10.1007/s00296-014-2979-1,2014,72,Article,,,,,1
824,PLoS ONE,Life History and demographic drivers of reservoir competence for three tick-borne zoonotic pathogens,"[{'name': 'R. Ostfeld', 'affiliation': 'Institute of Ecosystem Studies, Millbrook, United States'}]",10.1371/journal.pone.0107387,2014,69,Article,,,,,1
826,Parasites and Vectors,"The prevalence of Borrelia miyamotoi infection, and co-infections with other Borrelia spp. in Ixodes scapularis ticks collected in Canada","[{'name': 'A. Dibernardo', 'affiliation': 'National Microbiology Laboratory, Winnipeg, Canada'}]",10.1186/1756-3305-7-183,2014,67,Article,,,,,1
827,Clinical Infectious Diseases,Xenodiagnosis to detect Borrelia burgdorferi infection: A first-in-human study,"[{'name': 'A. Marques', 'affiliation': 'National Institute of Allergy and Infectious Diseases (NIAID), Bethesda, United States'}]",10.1093/cid/cit939,2014,64,Article,,,,,1
828,Journal of the American Veterinary Medical Association,"Performance of a commercially available in-clinic ELISA for detection of antibodies against Anaplasma phagocytophilum, Anaplasma platys, Borrelia burgdorferi, Ehrlichia canis, and Ehrlichia ewingii and Dirofilaria immitis antigen in dogs","[{'name': 'B.A. Stillman', 'affiliation': 'IDEXX Laboratories Incorporated, Westbrook, United States'}]",10.2460/javma.245.1.80,2014,64,Article,,,,,1
829,Journal of Neuroinflammation,CXCL13 and neopterin concentrations in cerebrospinal fluid of patients with Lyme neuroborreliosis and other diseases that cause neuroinflammation,"[{'name': 'J. Hytönen', 'affiliation': 'Turun yliopisto, Turku, Finland'}]",10.1186/1742-2094-11-103,2014,61,Article,,,,,1
830,PLoS ONE,Resurgence of persisting non-cultivable Borrelia burgdorferi following antibiotic treatment in mice,"[{'name': 'E. Hodzic', 'affiliation': 'University of California, Davis, Davis, United States'}]",10.1371/journal.pone.0086907,2014,61,Article,,,,,1
832,PLoS ONE,Borrelia burgdorferi promotes the establishment of Babesia microti in the Northeastern United States,"[{'name': 'J.M. Dunn', 'affiliation': 'RMIT University, Melbourne, Australia'}]",10.1371/journal.pone,2014,60,Article,,,,,1
833,PLoS ONE,An optimized SYBR green I/PI assay for rapid viability assessment and antibiotic susceptibility testing for Borrelia burgdorferi,"[{'name': 'J. Feng', 'affiliation': 'Johns Hopkins Bloomberg School of Public Health, Baltimore, United States'}]",10.1371/journal.pone.0111809,2014,60,Article,,,,,1
834,PLoS ONE,"Population-based passive tick surveillance and detection of expanding foci of blacklegged ticks Ixodes scapularis and the lyme disease agent Borrelia burgdorferi in Ontario, Canada","[{'name': 'M.P. Nelder', 'affiliation': 'Public Health Ontario, Toronto, Canada'}]",10.1371/journal.pone.0105358,2014,59,Article,,,,,1
835,Emerging Microbes and Infections,Identification of novel activity against Borrelia burgdorferi persisters using an FDA approved drug library,"[{'name': 'J. Feng', 'affiliation': 'Johns Hopkins Bloomberg School of Public Health, Baltimore, United States'}]",10.1038/emi.2014.53,2014,59,Article,,,,,1
836,Ticks and Tick-borne Diseases,"Trends in surveillance data of human Lyme borreliosis from six federal states in eastern Germany, 2009-2012","[{'name': 'H. Wilking', 'affiliation': 'Robert Koch Institut, Berlin, Germany'}]",10.1016/j.ttbdis.2013.10.010,2014,59,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X14000351,,,1
837,Journal of Medical Entomology,"Prevalence of borrelia burgdorferi (spirochaetales: Spirochaetaceae), anaplasma phagocytophilum (rickettsiales: Anaplasmataceae), and babesia microti (piroplasmida: Babesiidae) in ixodes scapularis (acari: Ixodidae) collected from recreational lands in the hudson valley region, New York State","[{'name': 'M. Prusinski', 'affiliation': 'Wadsworth Center for Laboratories and Research, Albany, United States'}]",10.1603/ME13101,2014,59,Article,,,,,1
838,PLoS ONE,"Tick surveillance for relapsing fever spirochete Borrelia miyamotoi in Hokkaido, Japan","[{'name': 'A. Takano', 'affiliation': 'Yamaguchi University, Yamaguchi, Japan'}]",10.1371/journal.pone.0104532,2014,57,Article,,,,,1
839,Clinical Infectious Diseases,Elevated levels of IL-23 in a subset of patients with post-lyme disease symptoms following erythema migrans,"[{'name': 'K. Strle', 'affiliation': 'Massachusetts General Hospital, Boston, United States'}]",10.1093/cid/cit735,2014,57,Article,,,,,1
840,Microbiology Spectrum,"vls antigenic variation systems of lyme disease borrelia: Eluding host immunity through both random, segmental gene conversion and framework heterogeneity","[{'name': 'S. Norris', 'affiliation': 'University of Texas Medical School at Houston, Houston, United States'}]",10.1128/microbiolspec. MDNA3-0038-2014,2014,55,Article,,,,,1
841,Ticks and Tick-borne Diseases,"The composition and transmission of microbiome in hard tick, Ixodes persulcatus, during blood meal","[{'name': 'X.C. Zhang', 'affiliation': 'Zhejiang University, Hangzhou, China'}]",10.1016/j.ttbdis.2014.07.009,2014,55,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X14001332,,,1
842,Eurosurveillance,"Incidence and Hospitalisation rates of lyme borreliosis, France, 2004 to 2012","[{'name': 'A. Vandenesch', 'affiliation': ""Institut Pierre Louis d'Epidémiologie et de Santé Publique, Paris, France""}]",10.2807/1560-7917.ES2014.19.34.20883,2014,55,Article,,,,,1
