,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,crossref
1491,La Revue de Médecine Interne,Diplégie faciale révélatrice d’une maladie de Lyme,"['A. Lesourd', 'S. Ngo', 'G. Sauvêtre', 'F. Héron', 'H. Levesque', 'I. Marie']",10.1016/j.revmed.2014.05.002,2015,0,journal-article,,http://dx.doi.org/10.1016/j.revmed.2014.05.002,https://api.elsevier.com/content/article/PII:S0248866314004937,,1
1492,Clinical Infectious Diseases,Editorial Commentary: What Constitutes Appropriate Treatment of Post-Lyme Disease Symptoms and Other Pain and Fatigue Syndromes?,"['A. C. Steere', 'S. L. Arvikar']",10.1093/cid/civ187,2015,3,journal-article,,http://dx.doi.org/10.1093/cid/civ187,http://academic.oup.com/cid/article-pdf/60/12/1783/7451850/civ187.pdf,,1
1493,Vaccine,Characterization and optimization of a novel vaccine for protection against Lyme borreliosis,"['Pär Comstedt', 'Markus Hanner', 'Wolfgang Schüler', 'Andreas Meinke', 'Robert Schlegl', 'Urban Lundberg']",10.1016/j.vaccine.2015.07.095,2015,13,journal-article,,http://dx.doi.org/10.1016/j.vaccine.2015.07.095,https://api.elsevier.com/content/article/PII:S0264410X15010993,,1
1494,Eurosurveillance,Improving national surveillance of Lyme neuroborreliosis in Denmark through electronic reporting of specific antibody index testing from 2010 to 2012,"['R B Dessau', 'L Espenhain', 'K Mølbak', 'T G Krause', 'M Voldstedlund']",10.2807/1560-7917.es2015.20.28.21184,2015,15,journal-article,"Our aim was to evaluate the results of automated surveillance of Lyme neuroborreliosis (LNB) in Denmark using the national microbiology database (MiBa), and to describe the epidemiology of laboratory-confirmed LNB at a national level. MiBa-based surveillance includes electronic transfer of laboratory results, in contrast to the statutory surveillance based on manually processed notifications. Antibody index (AI) testing is the recommend laboratory test to support the diagnosis of LNB in Denmark. In the period from 2010 to 2012, 217 clinical cases of LNB were notified to the statutory surveillance system, while 533 cases were reported AI positive by the MiBa system. Thirty-five unconfirmed cases (29 AI-negative and 6 not tested) were notified, but not captured by MiBa. Using MiBa, the number of reported cases was increased almost 2.5 times. Furthermore, the reporting was timelier (median lag time: 6 vs 58 days). Average annual incidence of AI-confirmed LNB in Denmark was 3.2/100,000 population and incidences stratified by municipality ranged from none to above 10/100,000. This is the first study reporting nationwide incidence of LNB using objective laboratory criteria. Laboratory-based surveillance with electronic data-transfer was more accurate, complete and timely compared to the surveillance based on manually processed notifications. We propose using AI test results for LNB surveillance instead of clinical reporting.",http://dx.doi.org/10.2807/1560-7917.es2015.20.28.21184,,1442.0,1
1495,Acta Microbiologica et Immunologica Hungarica,Lyme disease associated neuroretinitis — Case report,"['Melinda Vanya', 'Imre Fejes', 'Maria Jako', 'Areta Tula', 'Gabriella Terhes', 'Marta Janaky', 'Gyorgy Bartfai']",10.1556/030.62.2015.4.5,2015,2,journal-article,"We describe a rare case of Lyme disease complicated by unilateral neuroretinitis in the right eye. We report a case of a 27-year-old woman with blurred vision on her right eye. Because of the suspicion of optic neuritis (multiplex sclerosis) neurological examination was ordered. Surprisingly, computer tomography of the brain revealed incomplete empty sella, which generally results not monocular, but bilateral optic nerve swelling. Opthalmological examination (ophthalmoscopy and optical coherence tomography) indicated not only monocular optic nerve, but retinal oedema next to the temporal part of the right optic disk. Visual evoked potentials (VEP) demonstrated no P100 latency delay and mild differences between the amplitudes of the responses of the left and right eye. Optical coherence tomography (OCT) demonstrated the swelling of the optic nerve head and oedematous retina at the temporal part of the disk. Suspicion of an inflammatory cause of visual disturbance blood tests was ordered. Doxycycline treatment was ordered till the result of the blood test arrived. The Western blot and ELISA test were positive for",http://dx.doi.org/10.1556/030.62.2015.4.5,https://akjournals.com/view/journals/030/62/4/article-p403.xml,1128.0,1
1496,Journal of Investigative Dermatology,"Geographical and Temporal Correlations in the Incidence of Lyme Disease, RMSF, Ehrlichiosis, and Coccidioidomycosis with Search Data","['Vladimir Ratushny', 'Gideon P. Smith']",10.1038/jid.2015.93,2015,1,journal-article,,http://dx.doi.org/10.1038/jid.2015.93,https://api.elsevier.com/content/article/PII:S0022202X15373206,,1
1497,Medicine & Science in Sports & Exercise,Supervised Resistance Exercise for Patients with Persistent Symptoms of Lyme Disease,"['CHRISTOPHER R. D’ADAMO', 'CHARLES R. MCMILLIN', 'KEVIN W. CHEN', 'ELISABETH K. LUCAS', 'BRIAN M. BERMAN']",10.1249/mss.0000000000000683,2015,3,journal-article,,http://dx.doi.org/10.1249/mss.0000000000000683,https://journals.lww.com/00005768-201511000-00006,,1
1498,Parliamentary History,Independence and Corporations in Pre-Reform Freeman Boroughs: A Case Study - Newcastle-under-Lyme in the 1810s,['Stephen Lamont'],10.1111/1750-0206.12140,2015,0,journal-article,,http://dx.doi.org/10.1111/1750-0206.12140,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2F1750-0206.12140,,1
1499,Case Reports in Neurological Medicine,Stroke as an Unusual First Presentation of Lyme Disease,"['Mohamad Almoussa', 'Angelika Goertzen', 'Barbara Fauser', 'Christoph W. Zimmermann']",10.1155/2015/389081,2015,4,journal-article,,http://dx.doi.org/10.1155/2015/389081,http://downloads.hindawi.com/journals/crinm/2015/389081.pdf,,1
1500,Wiener klinische Wochenschrift,Peripheral facial palsy as an initial symptom of Lyme neuroborreliosis in an Austrian endemic area,"['Wolfgang Kindler', 'Hubert Wolf', 'Katrin Thier', 'Stefan Oberndorfer']",10.1007/s00508-014-0685-3,2015,8,journal-article,,http://dx.doi.org/10.1007/s00508-014-0685-3,http://link.springer.com/content/pdf/10.1007/s00508-014-0685-3.pdf,,1
1501,PLOS ONE,"Phylogeographic Structure of the White-Footed Mouse and the Deer Mouse, Two Lyme Disease Reservoir Hosts in Québec","['Jessica Fiset', 'Nathalie Tessier', 'Virginie Millien', 'Francois-Joseph Lapointe']",10.1371/journal.pone.0144112,2015,13,journal-article,,http://dx.doi.org/10.1371/journal.pone.0144112,http://dx.plos.org/10.1371/journal.pone.0144112,,1
1502,Canadian Medical Association Journal,A 35-year-old man with a positive Lyme test result from a private laboratory,"['Nisha Andany', 'Savannah Cardew', 'Paul E. Bunce']",10.1503/cmaj.141413,2015,2,journal-article,,http://dx.doi.org/10.1503/cmaj.141413,https://syndication.highwire.org/content/doi/10.1503/cmaj.141413,,1
1503,Expert Review of Anti-infective Therapy,Sexual transmission of Lyme disease: challenging the tickborne disease paradigm,"['Raphael B Stricker', 'Marianne J Middelveen']",10.1586/14787210.2015.1081056,2015,10,journal-article,,http://dx.doi.org/10.1586/14787210.2015.1081056,http://www.tandfonline.com/doi/pdf/10.1586/14787210.2015.1081056,,1
1504,Parasites & Vectors,Physician reported incidence of early and late Lyme borreliosis,"['Agnetha Hofhuis', 'Margriet Harms', 'Sita Bennema', 'Cees C van den Wijngaard', 'Wilfrid van Pelt']",10.1186/s13071-015-0777-6,2015,33,journal-article,,http://dx.doi.org/10.1186/s13071-015-0777-6,http://link.springer.com/content/pdf/10.1186/s13071-015-0777-6.pdf,,1
1505,Acta Cytologica,Cerebrospinal Fluid Cytology of Lyme Neuroborreliosis: A Report of 3 Cases with Literature Review,"['Juan Xing', 'Lisa Radkay', 'Sara E. Monaco', 'Christine G. Roth', 'Liron Pantanowitz']",10.1159/000439160,2015,6,journal-article,"Lyme disease can affect the central nervous system causing a B-cell-predominant lymphocytic pleocytosis. Since most reactions to infection in the cerebrospinal fluid (CSF) are typically T-cell predominant, a B-cell-predominant lymphocytosis raises concern for lymphoma. We present 3 Lyme neuroborreliosis cases in order to illustrate the challenging cytomorphological and immunophenotypic features of their CSF specimens. Three male patients who presented with central nervous system manifestations were diagnosed with Lyme disease. The clinical presentation, laboratory tests, CSF cytological examination and flow-cytometric studies were described for each case. CSF cytology showed lymphocytic pleocytosis with increased plasmacytoid cells and/or plasma cells. Flow cytometry showed the presence of polytypic B lymphocytes with evidence of plasmacytic differentiation in 2 cases. In all cases, Lyme disease was confirmed by the Lyme screening test and Western blotting. In such cases of Lyme neuroborreliosis, flow cytometry of CSF samples employing plasmacytic markers and cytoplasmic light-chain analysis is diagnostically helpful to exclude lymphoma.",http://dx.doi.org/10.1159/000439160,https://www.karger.com/Article/Pdf/439160,1155.0,1
1506,The Journal of Pediatrics,Evaluating the Child with Acute Hip Pain (“Irritable Hip”) in a Lyme Endemic Region,"['Richard G. Bachur', 'Cynthia M. Adams', 'Michael C. Monuteaux']",10.1016/j.jpeds.2014.09.040,2015,12,journal-article,,http://dx.doi.org/10.1016/j.jpeds.2014.09.040,https://api.elsevier.com/content/article/PII:S0022347614008919,,1
1507,Paediatrics & Child Health,123: Surveillance for Childhood Lyme Disease by the Canadian Pediatric Surveillance Program (CPSP): Initial Findings,"['N Ogden', 'M Barton', 'J Koffi', 'E Leonard', 'R Lindsay', 'J Langley']",10.1093/pch/20.5.e78b,2015,0,journal-article,,http://dx.doi.org/10.1093/pch/20.5.e78b,http://academic.oup.com/pch/article-pdf/20/5/e78/11195471/pch-20-e78b.pdf,,1
1508,European Journal of Paediatric Neurology,P125 – 2716: A presentation of Lyme disease: Pseudotumor cerebri,"['B. Sahin', 'F. Incecik', 'O.M. Hergüner', 'D. Alabaz', 'S. Besen', 'E. Aynaci', 'S. Altunbaşak']",10.1016/s1090-3798(15)30438-4,2015,0,journal-article,,http://dx.doi.org/10.1016/s1090-3798(15)30438-4,https://api.elsevier.com/content/article/PII:S1090379815304384,,1
1509,Emerging Infectious Diseases,"Enhancing Lyme Disease Surveillance by Using Administrative Claims Data, Tennessee, USA","['Joshua L. Clayton', 'Stephen G. Jones', 'John R. Dunn', 'William Schaffner', 'Timothy F. Jones']",10.3201/eid2109.150344,2015,5,journal-article,,http://dx.doi.org/10.3201/eid2109.150344,,,1
1510,BMC Public Health,Exploratory spatial analysis of Lyme disease in Texas –what can we learn from the reported cases?,"['Barbara Szonyi', 'Indumathi Srinath', 'Maria Esteve-Gassent', 'Blanca Lupiani', 'Renata Ivanek']",10.1186/s12889-015-2286-0,2015,7,journal-article,,http://dx.doi.org/10.1186/s12889-015-2286-0,http://link.springer.com/content/pdf/10.1186/s12889-015-2286-0.pdf,,1
1511,EcoHealth,"Increasing Residential Proximity of Lyme Borreliosis Cases to High-Risk Habitats: A Retrospective Study in Central Bohemia, the Czech Republic, 1987–2010","['Petr Zeman', 'Cestmir Benes', 'Karel Markvart']",10.1007/s10393-015-1016-5,2015,4,journal-article,,http://dx.doi.org/10.1007/s10393-015-1016-5,http://link.springer.com/content/pdf/10.1007/s10393-015-1016-5.pdf,,1
1512,Paediatrics & Child Health,"Clinical characteristics, treatment and outcome of children with Lyme arthritis in Nova Scotia","['Pier Diane Glaude', 'Adam M Huber', 'Timothy Mailman', 'Suzanne Ramsey', 'Bianca Lang', 'Elizabeth Stringer']",10.1093/pch/20.7.377,2015,5,journal-article,,http://dx.doi.org/10.1093/pch/20.7.377,http://academic.oup.com/pch/article-pdf/20/7/377/11016042/pch-20-377.pdf,,1
1513,European Journal of Dermatology,Unusual cutaneous manifestations of late Lyme borreliosis,"['Emilie Rigot', 'Valerie Doffoel Hantz', 'François Labrousse', 'Christian Martin', 'Maria Dubos', 'Safae Assikar', 'Agnès Sparsa', 'Jean-Marie Bonnetblanc', 'Christophe Bedane']",10.1684/ejd.2015.2536,2015,2,journal-article,,http://dx.doi.org/10.1684/ejd.2015.2536,,,1
1514,Global Pediatric Health,Neuroborreliosis-Associated Cerebral Vasculitis,"['Nina Lenherr', 'Kathi Walther', 'Jacques Schneider', 'Andreas Woerner', 'Melanie Hess']",10.1177/2333794x15601840,2015,1,journal-article,,http://dx.doi.org/10.1177/2333794x15601840,http://journals.sagepub.com/doi/pdf/10.1177/2333794X15601840,,1
1515,Case Reports in Psychiatry,"New-Onset Panic, Depression with Suicidal Thoughts, and Somatic Symptoms in a Patient with a History of Lyme Disease","['Amir Garakani', 'Andrew G. Mitton']",10.1155/2015/457947,2015,4,journal-article,"Lyme Disease, or Lyme Borreliosis, caused by",http://dx.doi.org/10.1155/2015/457947,http://downloads.hindawi.com/journals/crips/2015/457947.pdf,44.0,1
1516,Annales de Dermatologie et de Vénéréologie,Une toxidermie à l’amoxicilline épargnant une plaque d’érythème chronique migrant de Lyme : phénomène de Renbok,"['M. Dumas', 'E. Begon', 'L. Blum']",10.1016/j.annder.2015.10.402,2015,0,journal-article,,http://dx.doi.org/10.1016/j.annder.2015.10.402,https://api.elsevier.com/content/article/PII:S0151963815009503,,1
1517,Current Proteomics,Computational Studies on the Truncation of N-terminal Fragment of OspA Antigen of Borrelia burgdorferi: Towards Designing a Second- Generation Vaccine Against Lyme Disease,"['Dieudonne Mutangana', 'Ramesh K. V.', 'Maithri S. K.']",10.2174/157016461104150121114715,2015,0,journal-article,,http://dx.doi.org/10.2174/157016461104150121114715,http://eurekaselect.com/article/download/127900,,1
1518,Annals of Agricultural and Environmental Medicine,Sero-epidemiological study of Lyme disease among high-risk population groups in eastern Slovakia,"['Ľubica Zákutná', 'Erik Dorko', 'Eva Mattová', 'Kvetoslava Rimárová']",10.5604/12321966.1185765,2015,3,journal-article,,http://dx.doi.org/10.5604/12321966.1185765,http://www.journalssystem.com/aaem/pdf-72340-9568?filename=FullText.pdf,,1
1519,Journal of Neurology,"Quality of life, fatigue, depression and cognitive impairment in Lyme neuroborreliosis","['Rick Dersch', 'Antonia A. Sarnes', 'Monika Maul', 'Tilman Hottenrott', 'Annette Baumgartner', 'Sebastian Rauer', 'Oliver Stich']",10.1007/s00415-015-7891-4,2015,23,journal-article,,http://dx.doi.org/10.1007/s00415-015-7891-4,http://link.springer.com/content/pdf/10.1007/s00415-015-7891-4.pdf,,1
1520,PLOS ONE,C6 Peptide-Based Multiplex Phosphorescence Analysis (PHOSPHAN) for Serologic Confirmation of Lyme Borreliosis,"['Vera G. Pomelova', 'Edward I. Korenberg', 'Tatiana I. Kuznetsova', 'Tatiana A. Bychenkova', 'Natalya I. Bekman', 'Nikolay S. Osin']",10.1371/journal.pone.0130048,2015,9,journal-article,,http://dx.doi.org/10.1371/journal.pone.0130048,http://dx.plos.org/10.1371/journal.pone.0130048,,1
1521,Indian Journal of Psychological Medicine,"Association of Lyme Disease and Schizoaffective Disorder, Bipolar Type: Is it Inflammation Mediated?","['David William Mattingley', 'Maju Mathew Koola']",10.4103/0253-7176.155660,2015,2,journal-article,,http://dx.doi.org/10.4103/0253-7176.155660,http://journals.sagepub.com/doi/pdf/10.4103/0253-7176.155660,,1
1522,Journal of Pediatric Infectious Diseases,Lyme neuroborreliosis presenting chiefly with neuropsychiatric symptoms displaying difficulties in diagnosis: Report of two cases,"['Lütfullah Beşiroǧlu', 'Hasan Karsen', 'M. Karahocagil', 'Mehmet Aǧargün', 'Hayrettin Akdeniz']",10.1055/s-0035-1557084,2015,0,journal-article,,http://dx.doi.org/10.1055/s-0035-1557084,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0035-1557084.pdf,,1
1523,BMC Public Health,Factors associated with preventive behaviors regarding Lyme disease in Canada and Switzerland: a comparative study,"['Cécile Aenishaenslin', 'Pascal Michel', 'André Ravel', 'Lise Gern', 'François Milord', 'Jean-Philippe Waaub', 'Denise Bélanger']",10.1186/s12889-015-1539-2,2015,30,journal-article,,http://dx.doi.org/10.1186/s12889-015-1539-2,http://link.springer.com/content/pdf/10.1186/s12889-015-1539-2.pdf,,1
1524,PLOS ONE,Adaptation and Evaluation of a Multi-Criteria Decision Analysis Model for Lyme Disease Prevention,"['Cécile Aenishaenslin', 'Lise Gern', 'Pascal Michel', 'André Ravel', 'Valérie Hongoh', 'Jean-Philippe Waaub', 'François Milord', 'Denise Bélanger']",10.1371/journal.pone.0135171,2015,5,journal-article,,http://dx.doi.org/10.1371/journal.pone.0135171,http://dx.plos.org/10.1371/journal.pone.0135171,,1
1525,Journal of Molecular Microbiology and Biotechnology,Use of in vivo Expression Technology for the Identification of Putative Host Adaptation Factors of the Lyme Disease Spirochete,"['Timothy Casselli', 'Troy Bankhead']",10.1159/000439305,2015,4,journal-article,"The causative agent of Lyme disease, <i>Borrelia burgdorferi,</i> is an obligate parasite that requires either a tick vector or a mammalian host for survival. Identification of the bacterial genes that are specifically expressed during infection of the mammalian host could provide targets for novel therapeutics and vaccines. In vivo expression technology (IVET) is a reporter-based promoter trap system that utilizes selectable markers to identify promoters of bacterial host-specific genes. Using previously characterized genes for in vivo and in vitro selection, this study utilized an IVET system that allows for selection of <i>B. burgdorferi</i> sequences that act as active promoters only during murine infection. This promoter trap system was able to successfully distinguish active promoter sequences both in vivo and in vitro from control sequences and a library of cloned <i>B. burgdorferi</i> genomic fragments. However, a bottleneck effect during the experimental mouse infection limited the utility for genome-wide promoter screening. Overall, IVET was demonstrated as a tool for the identification of in vivo-induced promoter elements of <i>B. burgdorferi,</i> and the observed infection bottleneck apparent using a polyclonal infection pool provides insight into the dynamics of experimental infection with <i>B. burgdorferi.</i>",http://dx.doi.org/10.1159/000439305,https://www.karger.com/Article/Pdf/439305,1346.0,1
1526,Medycyna Ogólna i Nauki o Zdrowiu,Controversies related to diagnosis and treatment of Lyme borreliosis worldwide,"['Bożena Muraczyńska', 'Edyta Gałęziowska']",10.5604/20834543.1186908,2015,0,journal-article,,http://dx.doi.org/10.5604/20834543.1186908,http://www.journalssystem.com/monz/pdf-73611-10431?filename=FullText.pdf,,1
1527,Journal of Neurology,Prevalence and spectrum of residual symptoms in Lyme neuroborreliosis after pharmacological treatment: a systematic review,"['R. Dersch', 'H. Sommer', 'S. Rauer', 'J. J. Meerpohl']",10.1007/s00415-015-7923-0,2015,38,journal-article,,http://dx.doi.org/10.1007/s00415-015-7923-0,http://link.springer.com/content/pdf/10.1007/s00415-015-7923-0.pdf,,1
1528,Veterinarski glasnik,Assessment of the potential and actual risk of lyme disease agent transmission in the territory of Belgrade,"['Milutin Djordjevic', 'Milena Krstic', 'Novica Stajkovic']",10.2298/vetgl1506377d,2015,0,journal-article,"In the territory of Belgrade, at 16 sites (15 of test and one control), which belong to different enviromental categories such as: parks (Topcider, Hajd park, park Banovo brdo, Sumice, Usce), park-forests (Kosutnjak, Zvezdara, SP Jajinci, Banjica, Ada Ciganlija) and forests (Avala, Lipovica, Bojcinska forest, Manastirska forest, Makis), there were investigated potential and actual risk of transmission of Borrelia burgdorferi sensu lato. Suplja Stena was taken as a control site, where no chemical treatment was performed. Once of month, from March to October 2012, ticks were collected by flag-hours (drag-and-drop) method. Ticks were determined by the species and all Ixodes ricinus were observed by a dark-field microscope. A total of 3,158 individual ticks were collected, out of which 2,797 (88,6%) were Ixodes ricinus, 175 (5,5%) Dermacentor reticulatus and 186 (5,9%) Rhipicephalus sanguineus. At forest sites there were collected 1,102 Ixodes ricinus, in park-forest regions 730 and in the parks 569. Infection rate of ticks by B. burgdorferi sensu lato at the forest sites ranged between 23,8 and 36,3%, in the park-forests region 23,2-32,6% and 23,8 to 40% in the parks. Twelve of the sites met the criteria for high potential risk and three of them for moderate risk. Except for Makis, at all the forest sites, the actual risk from March to April was certain, and in other months the risk varied. In the park-forest regions, the actual risk was registered 16 times, the possible risk 23 times, and the limited riosk once. At the sites belonging to the park areas, cetrain actual risk was established 3 times, possible risk 30 times and the limited 7 times At the control site Suplja Stena, the actual risk of transmission of B. burgdorferi sensu lato was registered during all the months of the reaserch. At the teritory of Belgrade there are favorable conditions for maintaining vector Lyme disease and the potential and actual risk of transmission of Borrelia burgdorferi sensu lato.",http://dx.doi.org/10.2298/vetgl1506377d,,1999.0,1
1529,The American Journal of Medicine,Long-term Assessment of Fatigue in Patients with Culture-confirmed Lyme Disease,"['Gary P. Wormser', 'Erica Weitzner', 'Donna McKenna', 'Robert B. Nadelman', 'Carol Scavarda', 'John Nowakowski']",10.1016/j.amjmed.2014.09.022,2015,34,journal-article,,http://dx.doi.org/10.1016/j.amjmed.2014.09.022,https://api.elsevier.com/content/article/PII:S0002934314008973,,1
1530,Open Forum Infectious Diseases,Discovery of Outer Surface Protein A-Specific Human Monoclonal Antibodies Reactive Against a Broad Range of Borrelia Species for the Prevention of Lyme Disease,"['Yang Wang', 'Naomi Boatright', 'Andrew Sadowski', 'William Thomas', 'Mark S. Klempner']",10.1093/ofid/ofv133.480,2015,0,journal-article,,http://dx.doi.org/10.1093/ofid/ofv133.480,https://academic.oup.com/ofid/article/doi/10.1093/ofid/ofv133.480/2634975,,1
1531,Schizophrenia Research,Undiagnosed Lyme disease in adults with schizophrenia,"['Maju Mathew Koola', 'Kelli M. Sullivan', 'Amber K. Earl', 'Stephanie M. Feldman', 'Charles Richardson', 'Gopal R. Vyas', 'Heidi J. Wehring', 'Deanna L. Kelly']",10.1016/j.schres.2015.06.029,2015,2,journal-article,,http://dx.doi.org/10.1016/j.schres.2015.06.029,https://api.elsevier.com/content/article/PII:S092099641500359X,,1
1532,Advances in Clinical and Experimental Medicine,Lyme Borreliosis - the Utility of Improved Real-Time PCR Assay in Detection of Borrelia burgdorferi Infections,"['Iwona Bil-Lula', 'Patryk Matuszek', 'Thomas Pfeiffer', 'Mieczysław Woźniak']",10.17219/acem/28625,2015,15,journal-article,,http://dx.doi.org/10.17219/acem/28625,http://www.advances.umed.wroc.pl/pdf/2015/24/4/663.pdf,,1
1533,Emerging Microbes & Infections,Borrelia burgdorferi elongation factor EF-Tu is an immunogenic protein during Lyme borreliosis,"['Sebastian E Carrasco', 'Youyun Yang', 'Bryan Troxell', 'Xiuli Yang', 'Utpal Pal', 'X Frank Yang']",10.1038/emi.2015.54,2015,16,journal-article,,http://dx.doi.org/10.1038/emi.2015.54,http://www.nature.com/articles/emi201554.pdf,,1
1534,PLOS ONE,"Nuclear Markers Reveal Predominantly North to South Gene Flow in Ixodes scapularis, the Tick Vector of the Lyme Disease Spirochete","['Janice Van Zee', 'Joseph F. Piesman', 'Andrias Hojgaard', 'William Cormack Black IV']",10.1371/journal.pone.0139630,2015,16,journal-article,,http://dx.doi.org/10.1371/journal.pone.0139630,http://dx.plos.org/10.1371/journal.pone.0139630,,1
1535,Environmental Microbiology,"Strain-specific antibodies reduce co-feeding transmission of the Lyme disease pathogen,Borrelia afzelii","['Maxime Jacquet', 'Jonas Durand', 'Olivier Rais', 'Maarten J. Voordouw']",10.1111/1462-2920.13065,2015,12,journal-article,,http://dx.doi.org/10.1111/1462-2920.13065,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2F1462-2920.13065,,1
1536,Child & Family Social Work,"Youthoria: Adolescent Substance Misuse - Problems, Prevention and Treatment by Phil Harris Russell House Publishing, Lyme Regis, Dorset, 2013, 260 pp. £27.95. ISBN 978-1-905541-82-9",['Karenza Moore'],10.1111/cfs.12199,2015,0,journal-article,,http://dx.doi.org/10.1111/cfs.12199,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fcfs.12199,,1
1537,PLOS ONE,Antagonistic Interplay between MicroRNA-155 and IL-10 during Lyme Carditis and Arthritis,"['Robert B. Lochhead', 'James F. Zachary', 'Luciana Dalla Rosa', 'Ying Ma', 'John H. Weis', 'Ryan M. O’Connell', 'Janis J. Weis']",10.1371/journal.pone.0135142,2015,14,journal-article,,http://dx.doi.org/10.1371/journal.pone.0135142,http://dx.plos.org/10.1371/journal.pone.0135142,,1
1538,Ticks and Tick-borne Diseases,Continuing increase of tick bites and Lyme disease between 1994 and 2009,"['Agnetha Hofhuis', 'Margriet Harms', 'Cees van den Wijngaard', 'Hein Sprong', 'Wilfrid van Pelt']",10.1016/j.ttbdis.2014.09.006,2015,57,journal-article,,http://dx.doi.org/10.1016/j.ttbdis.2014.09.006,https://api.elsevier.com/content/article/PII:S1877959X14001903,,1
1539,Annals of Agricultural and Environmental Medicine,Peroxidative metabolism of arachidonic acid in the course of Lyme arthritis,"['Wojciech Łuczaj', 'Anna Moniuszko', 'Magdalena Rusak', 'Joanna Zajkowska', 'Sławomir Pancewicz', 'Elżbieta Skrzydlewska']",10.5604/12321966.1167708,2015,6,journal-article,,http://dx.doi.org/10.5604/12321966.1167708,http://www.journalssystem.com/aaem/pdf-72304-9532?filename=FullText.pdf,,1
1540,Zoonoses and Public Health,Will Culling White-Tailed Deer Prevent Lyme Disease?,"['K. J. Kugeler', 'R. A. Jordan', 'T. L. Schulze', 'K. S. Griffith', 'P. S. Mead']",10.1111/zph.12245,2015,27,journal-article,,http://dx.doi.org/10.1111/zph.12245,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fzph.12245,,1
1541,Parasites & Vectors,Eco-epidemiology of Borrelia miyamotoi and Lyme borreliosis spirochetes in a popular hunting and recreational forest area in Hungary,"['Sándor Szekeres', 'Elena Claudia Coipan', 'Krisztina Rigó', 'Gábor Majoros', 'Setareh Jahfari', 'Hein Sprong', 'Gábor Földvári']",10.1186/s13071-015-0922-2,2015,34,journal-article,,http://dx.doi.org/10.1186/s13071-015-0922-2,http://link.springer.com/content/pdf/10.1186/s13071-015-0922-2.pdf,,1
1542,Clinical Infectious Diseases,Unorthodox Alternative Therapies Marketed to Treat Lyme Disease,"['P. M. Lantos', 'E. D. Shapiro', 'P. G. Auwaerter', 'P. J. Baker', 'J. J. Halperin', 'E. McSweegan', 'G. P. Wormser']",10.1093/cid/civ186,2015,40,journal-article,,http://dx.doi.org/10.1093/cid/civ186,http://academic.oup.com/cid/article-pdf/60/12/1776/7451800/civ186.pdf,,1
1543,Clinical Infectious Diseases,Development of a Metabolic Biosignature for Detection of Early Lyme Disease,"['Claudia R. Molins', 'Laura V. Ashton', 'Gary P. Wormser', 'Ann M. Hess', 'Mark J. Delorey', 'Sebabrata Mahapatra', 'Martin E. Schriefer', 'John T. Belisle']",10.1093/cid/civ185,2015,46,journal-article,,http://dx.doi.org/10.1093/cid/civ185,http://academic.oup.com/cid/article-pdf/60/12/1767/16788747/civ185.pdf,,1
1544,Journal of the Royal College of Physicians of Edinburgh,Distribution and presentation of Lyme borreliosis in Scotland – analysis of data from a national testing laboratory,"['S Mavin', 'EJ Watson', 'R Evans']",10.4997/jrcpe.2015.304,2015,11,journal-article,,http://dx.doi.org/10.4997/jrcpe.2015.304,http://www.rcpe.ac.uk/sites/default/files/jrcpe_45_3_mavin.pdf,,1
1545,Antimicrobial Agents and Chemotherapy,"Borrelia burgdorferi, the Causative Agent of Lyme Disease, Forms Drug-Tolerant Persister Cells","['Bijaya Sharma', 'Autumn V. Brown', 'Nicole E. Matluck', 'Linden T. Hu', 'Kim Lewis']",10.1128/aac.00864-15,2015,98,journal-article,ABSTRACT:,http://dx.doi.org/10.1128/aac.00864-15,https://syndication.highwire.org/content/doi/10.1128/AAC.00864-15,9.0,1
1546,European Journal of Neurology,Efficacy and safety of pharmacological treatments for acute Lyme neuroborreliosis - a systematic review,"['R. Dersch', 'M. H. Freitag', 'S. Schmidt', 'H. Sommer', 'S. Rauer', 'J. J. Meerpohl']",10.1111/ene.12744,2015,32,journal-article,,http://dx.doi.org/10.1111/ene.12744,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fene.12744,,1
1547,Emerging Infectious Diseases,"Incidence of Clinician-Diagnosed Lyme Disease, United States, 2005–2010","['Christina A. Nelson', 'Shubhayu Saha', 'Kiersten J. Kugeler', 'Mark J. Delorey', 'Manjunath B. Shankar', 'Alison F. Hinckley', 'Paul S. Mead']",10.3201/eid2109.150417,2015,241,journal-article,,http://dx.doi.org/10.3201/eid2109.150417,,,1
1548,PLOS ONE,Disruption of bbe02 by Insertion of a Luciferase Gene Increases Transformation Efficiency of Borrelia burgdorferi and Allows Live Imaging in Lyme Disease Susceptible C3H Mice,"['Kamfai Chan', 'Laura Alter', 'Stephen W. Barthold', 'Nikhat Parveen']",10.1371/journal.pone.0129532,2015,16,journal-article,,http://dx.doi.org/10.1371/journal.pone.0129532,http://dx.plos.org/10.1371/journal.pone.0129532,,1
